,Number,Time,One,Two,Three,Four,Five,Six,Seven,Eight,Nine,Ten,Eleven,Twelve
0,1,16秒,0,0,0,0,0,0,0,0,5,0,0,无
1,2,154秒,1,1,箫、琵琶、鼓、扬琴,1,0,演唱会、话剧、音乐剧、电影、展览,1,如果我有无数可以挥霍的金钱，我一定会把家里装修成几个大工作室,2,1,0,听歌、看展、看各种电影、看各种视频、看书、做手工
2,3,57秒,1,1,吉他,0,0,演奏会,1,0,2,0,1,练吉他，听歌
3,4,56秒,1,1,吉他,1,0,舞蹈,1,自由自在,3,0,0,艺术团，听音乐会
4,5,78秒,1,1,小提琴,0,表情包,0,1,0,2,0,0,看剧睡觉唱歌跳舞
5,6,129秒,1,0,吉他,0,0,0,0,0,2,0,1,无
6,7,58秒,1,0,吉他,0,0,0,1,0,2,0,1,写字
7,8,70秒,1,1,大提琴,0,无数个小叶子,行为艺术,1,旅行作家,4,1,0,画一些无意识的漫画
8,9,55秒,0,1,钢琴,0,0,摄影,1,0,2,0,1,看书拍照
9,10,168秒,1,1,尤克里里,0,画桌面的花,摄影,1,0,3,0,0,练字，画水彩，去花店精心挑选几支花插瓶，拍照，做小手工DIY
10,11,161秒,1,1,古琴,0,线条,文艺、音乐、绘画,1,诗人、音乐家,3,0,1,写诗、跳舞、读书、听钢琴曲、学习乐器演奏、参观艺术馆
11,12,44秒,0,0,0,0,0,0,0,0,2,0,1,无
12,13,118秒,1,0,古琴,0,可可爱爱的小女孩或小男孩,画画，乐器，舞蹈,1,美好而享受,1,0,0,画画
13,14,104秒,1,0,0,1,失恋的那一刻,绘画,0,画家,2,0,1,玩游戏，设计游戏
14,15,81秒,1,1,钢琴,0,海,音乐,0,音乐家,2,0,0,听音乐
15,16,96秒,1,1,架子鼓,1,画樱花,文学,1,以小说家的身份,1,0,0,看书，听音乐，逛展览书店
16,17,115秒,1,1,古筝,0,风景或可爱的小动物,绘画音乐舞蹈,1,有一间舞蹈房，落地窗，大镜子，窗边放我的琴们,2,0,0,玩乐器，听音乐会，选艺术公选，跳舞
17,18,61秒,1,0,0,1,0,0,0,0,2,0,0,听音乐
18,19,127秒,1,1,手碟,1,0,照片，视频，服装,1,0,2,0,0,上课摸鱼
19,20,204秒,1,0,吉他,1,0,0,1,0,2,0,1,写毛笔字，临摹一下碑文
